Function name,# referenced
BillableGroupHelpers.filter,463
FeatureAvailabilityApi.apply,112
BillableGroupHelpers.directSubscriptions,22
BillableGroupHelpers.hasLicenses,22
BillableGroupHelpers.maybeGetBillingInfo,21
BillableGroupHelpers.hasDirectSubscription,21
BillableGroupHelpers.applicablePartyLicenseDatasForParty,17
BillableGroupHelpers.toBillableGroup,14
BillableGroupHelpers.dswoToBillableGroup,13
BillableGroupHelpers.partyRefToPartyId,11
BillableGroupHelpers.billingData,10
BillableGroupHelpers.productCatalogFeaturesForParty,10
FeatureAvailabilityApi.getFeatureUsageInfo,8
BillableGroupHelpers.maybeGetDomainChannelSettings,7
BillableGroupHelpers.applicablePartyLicensesForParty,7
BillableGroupHelpers.getDomain,7
BillableGroupHelpers.effectiveWorkManagementTiers,6
BillableGroupHelpers.lastExpiredSubscriptionForOffering,6
BillableGroupHelpers.billableGroupHasPaymentInfo,6
BillableGroupHelpers.productOfferingForOffering,6
BillableGroupHelpers.productIdsToTiers,5
BillableGroupHelpers.directSubscriptionsForOffering,5
BillableGroupHelpers.deprecated_snapshotTiers,4
BillableGroupHelpers.applicableParties,4
BillableGroupHelpers.isPartnerAccount,4
BillableGroupHelpers.isActiveAndClaimedLicense,4
FeatureAvailabilityApi.isFeatureAvailable,4
LicensingApi.getLicensesForBillingInfo,4
BillableGroupHelpers.shouldTreatDomainAsITLicensed,3
BillableGroupHelpers.directSubscriptionsFromBillingInfo,3
BillableGroupHelpers.getBillableGroupRef,3
BillableGroupHelpers.subscribablePlans,3
BillableGroupHelpers.latestActiveTrialStartDate,3
BillableGroupHelpers.directPartyLicenseDatasForParty,3
BillableGroupHelpers.partyLicenseDataFromSubscription,3
BillableGroupHelpers.productIdToProductOffering,3
BillableGroupHelpers.productCatalogFeaturesForBillingAccount,3
BillableGroupHelpers.productCatalogFeaturesLicensedFromBillingAccount,3
BillableGroupHelpers.filterOutViewOnlyPcp,3
LicensingApi.getLicensesFromDivision,3
LicensingApi.getLicensesForDomainFromBillingAccount,3
BillableGroupHelpers.licenseCountForOffering,2
BillableGroupHelpers.adjustFeaturesForHipaa,2
BillableGroupHelpers.isHipaaEnabledForParty,2
BillableGroupHelpers.isChannelAlign,2
BillableGroupHelpers.getFeatureIdsFromProductCatalogPlan,2
BillableGroupHelpers.applicableSubscriptions,2
BillableGroupHelpers.subscriptionPcpForOffering,2
BillableGroupHelpers.applicableLicensesFromBillingAccountsForGuestsAndSpecialAccounts,2
BillableGroupHelpers.hasApplicableSubscriptions,2
BillableGroupHelpers.hasTrialsForOffering,2
BillableGroupHelpers.productCatalogPlanComparator,2
BillableGroupHelpers.sortedProductCatalogPlansForOffering,2
BillableGroupHelpers.highestLicensesPerOfferingForPartyLicenses,2
BillableGroupHelpers.mapLicenseTuples,2
BillableGroupHelpers.licenseSeatCountForDivision,2
BillableGroupHelpers.productCatalogFeaturesFromLicenses,2
BillableGroupHelpers.productCatalogFeaturesFromSubscriptions,2
BillableGroupHelpers.productCatalogFeatureMapFromLicenses,2
BillableGroupHelpers.licensesDomain,2
BillableGroupHelpers.offeringFilter,2
BillableGroupHelpers.productOfferingFilter,2
FeatureAvailabilityApi.featureAvailabilitiesForBilledProcessConfiguration,2
FeatureAvailabilityApi.featureAvailabilitiesForBillingAccount,2
FeatureAvailabilityApi.mapFeatureAvailabilityResultsToInfos,2
FeatureAvailabilityApi.mapFeatureAvailabilityResultsToFeatureUsageStates,2
FeatureAvailabilityApi.featureUsageInfosForBillingAccountUsageReactive,2
LicensingApi.getBillingAccountFeatureUsageInfoForPartyLicenseDatas,2
BillableGroupHelpers.productIdToTier,1
BillableGroupHelpers.doesParentDomainHaveLegacySamlUse,1
BillableGroupHelpers.isChannelEnrolled,1
BillableGroupHelpers.parseProductIds,1
BillableGroupHelpers.applicableSubscriptionsForOffering,1
BillableGroupHelpers.hasStackedTrialForOffering,1
BillableGroupHelpers.applicableLicensedPartiesForPartyAndAccount,1
BillableGroupHelpers.hasDirectPartyLicense,1
BillableGroupHelpers.hasApplicablePartyLicense,1
BillableGroupHelpers.hasLicenseForOffering,1
BillableGroupHelpers.sequenceToOption,1
BillableGroupHelpers.directSubscriptionPrice,1
BillableGroupHelpers.billingDataFromBillingInfo,1
BillableGroupHelpers.hasApplicableSubscriptionsForOffering,1
BillableGroupHelpers.hasDirectSubscriptionsForOffering,1
BillableGroupHelpers.mostRecentWorkManagementSubscriptions,1
BillableGroupHelpers.previousExpireTimeForOffering,1
BillableGroupHelpers.hasPremiumParent,1
BillableGroupHelpers.hasPremiumTierSubscription,1
BillableGroupHelpers.hasBusinessSubscription,1
BillableGroupHelpers.willChurnBefore,1
BillableGroupHelpers.inChurgatory,1
BillableGroupHelpers.comparePaths,1
BillableGroupHelpers.teamHasPremiumParent,1
BillableGroupHelpers.divisionHasPremiumParent,1
BillableGroupHelpers.getPartyRef,1
BillableGroupHelpers.productCatalogPlansForOffering,1
BillableGroupHelpers.nextRenewalTimeForOffering,1
BillableGroupHelpers.hasActiveAnnualExtensionOffer,1
BillableGroupHelpers.wasTrueUpEmailSentInThisBillingCycleForOffering,1
BillableGroupHelpers.wasPriceUpEmailSentInThisBillingCycleForOffering,1
BillableGroupHelpers.isOverSeatLimitForOffering,1
BillableGroupHelpers.isDivisionLicensed,1
BillableGroupHelpers.isDomainLicensed,1
BillableGroupHelpers.solelyLicensesDomain,1
BillableGroupHelpers.licensedBillableGroups,1
BillableGroupHelpers.isDomainAdminable,1
BillableGroupHelpers.isDivisionAdminable,1
BillableGroupHelpers.adminableBillableGroups,1
BillableGroupHelpers.directEffectivePartyLicenseDataForParty,1
BillableGroupHelpers.partyLicenseDataFromTeamDivision,1
BillableGroupHelpers.maybeBillableGroupFromParty,1
BillableGroupHelpers.isSelfServable,1
BillableGroupHelpers.hasITSubscription,1
BillableGroupHelpers.sortedProductOfferingsForOffering,1
BillableGroupHelpers.productOfferingAIsBetterThanB,1
BillableGroupHelpers.licensedProductFeatureMapForParty,1
BillableGroupHelpers.productCatalogFeatureMapForParty,1
FeatureAvailabilityApi.featureAvailabilitiesForDomainUser,1
FeatureAvailabilityApi.featureAvailabilitiesStatesForDomainUser,1
FeatureAvailabilityApi.getFeatureAvailability,1
FeatureAvailabilityApi.mapFeatureAvailabilityResultsToFeatureAvailabilityStates,1
LicensingApi.checkDomainField,1
LicensingApi.getLicensesForDomainUser,1
LicensingApi.isFeatureCompatibleWithBillingData,1
LicensingApi.hasFeaturesForBillingAccount,1
BillableGroupHelpers.previousBillingProductForOffering,0
BillableGroupHelpers.inChurgatoryForOffering,0
BillableGroupHelpers.getBillableGroupType,0
BillableGroupHelpers.getDomainId,0
BillableGroupHelpers.shouldForciblyBlockSelfServe,0
BillableGroupHelpers.hasTrials,0
BillableGroupHelpers.isManuallyInvoiced,0
BillableGroupHelpers.dswoToParty,0
BillableGroupHelpers.getAdminableGroupFromParty,0
BillableGroupHelpers.licensingAccounts,0
